ID,Dataset,Direction,Train,Avg_Speed,Component,Num_Trip,Engine_Status,Accel_Path,Vel_Path,Scores_Path,UnifiedScore_Path,is_ABU-B_enabled,is_ABU-A_enabled,N_acc,N_vel,N_discrepance,Reference_Bearing,Bearing_Columns,Weldings,Wheel_Fault
c07ac6bb-a6d7-4486-adc3-1108ea5b426d,Estratto_Rettilineo_AR,Ritorno,7,C,Z,1,,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/Rettilineo_Z_C1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_C1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/Scores_Z_C1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/UnifiedScore_Z_C1_007.txt,False,False,42358,42358,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[1593, 7320, 12851, 18642, 24183, 30038, 35646, 41389, 47124]",False
6bc0c5fa-a681-4132-80e5-eddc5dc4f093,Estratto_Rettilineo_AR,Ritorno,7,C,X,1,,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/Rettilineo_X_C1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_C1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/Scores_X_C1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/UnifiedScore_X_C1_007.txt,False,False,42358,42358,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[1593, 7320, 12851, 18642, 24183, 30038, 35646, 41389, 47124]",False
169669ba-aa5b-4259-ad22-3794abf74535,Estratto_Rettilineo_AR,Ritorno,7,C,Y,1,,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/Rettilineo_Y_C1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_C1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/Scores_Y_C1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/C/UnifiedScore_Y_C1_007.txt,False,False,42358,42358,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[1593, 7320, 12851, 18642, 24183, 30038, 35646, 41389, 47124]",False
8a1c051a-c603-46b8-af01-991160366c18,Estratto_Rettilineo_AR,Ritorno,7,B,X,1,,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Rettilineo_X_B1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_B1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Scores_X_B1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/UnifiedScore_X_B1_007.txt,False,False,72843,72843,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[792, 9300, 17781, 26343, 34808, 43359, 51850, 60378, 68880]",False
3e9f3562-8251-4e70-9496-1a9e2857b68d,Estratto_Rettilineo_AR,Ritorno,7,B,X,1,F,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Rettilineo_X_FB1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_FB1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Scores_X_FB1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/UnifiedScore_X_FB1_007.txt,False,False,72843,72843,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[579, 9070, 17494, 26022, 34463, 42984, 51454, 59957, 68446]",False
7001e30a-79a2-4251-8a2d-fecb7890483d,Estratto_Rettilineo_AR,Ritorno,7,B,Y,1,,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Rettilineo_Y_B1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_B1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Scores_Y_B1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/UnifiedScore_Y_B1_007.txt,False,False,72843,72843,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[792, 9300, 17781, 26343, 34808, 43359, 51850, 60378, 68880]",False
52658227-be24-47ef-8528-fe1d12ac8583,Estratto_Rettilineo_AR,Ritorno,7,B,Y,1,F,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Rettilineo_Y_FB1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_FB1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Scores_Y_FB1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/UnifiedScore_Y_FB1_007.txt,False,False,72843,72843,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[579, 9070, 17494, 26022, 34463, 42984, 51454, 59957, 68446]",False
8cde4319-c0ba-4027-8adb-19ecf2b520b4,Estratto_Rettilineo_AR,Ritorno,7,B,Z,1,,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Rettilineo_Z_B1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_B1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Scores_Z_B1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/UnifiedScore_Z_B1_007.txt,False,False,72843,72843,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[792, 9300, 17781, 26343, 34808, 43359, 51850, 60378, 68880]",False
ac520e9c-a3db-414f-ade6-e854bac03ce5,Estratto_Rettilineo_AR,Ritorno,7,B,Z,1,F,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Rettilineo_Z_FB1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/Profili delle velocità/Vel_007_FB1.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/Scores_Z_FB1_007.txt,datasets/Estratto_Rettilineo_AR/Ritorno/007/B/UnifiedScore_Z_FB1_007.txt,False,False,72843,72843,0,11,"[5, 6, 7, 8, 9, 10, 11, 12]","[579, 9070, 17494, 26022, 34463, 42984, 51454, 59957, 68446]",False
82583080-7adb-4d9c-bf59-5494eda2fb7f,Estratto_Rettilineo_AR,Andata,5,A,X,2,,datasets/Estratto_Rettilineo_AR/Andata/005/A/Rettilineo_X_A2_005.txt,datasets/Estratto_Rettilineo_AR/Andata/005/Profili delle velocità/Vel_005_A2.txt,datasets/Estratto_Rettilineo_AR/Andata/005/A/Scores_X_A2_005.txt,datasets/Estratto_Rettilineo_AR/Andata/005/A/UnifiedScore_X_A2_005.txt,False,False,150857,150857,0,12,"[5, 6, 7, 8, 9, 10, 11, 12]","[15217, 32697, 50208, 67956, 85588, 103145, 120809, 138461]",True
