,UUID,Train,Direction,Speed,Num_Trip,Component,Side,Sensor,Cluster Centroids,PD,ED,PFA
26,201abd15-2c3b-4ccb-8352-b41c05108771,5,Ritorno,A,2,Y,N,2,"[1526, 1679, 4421, 5846, 7333, 8810, 11681, 14375, 15665, 17411, 18337, 19732, 21165, 22653, 24129, 27028, 28397, 29573, 30099, 32311, 33657, 36453, 37946, 41528, 46636, 47545, 48865, 55472, 55872, 55962, 58791, 60143, 62720, 64010, 65328, 69514, 71406, 72433, 73833, 75663, 76574, 77305, 79952, 81730, 83069, 84451, 89482, 90183, 91568, 92930, 93260, 95523, 95930, 99403, 100764, 102159, 105467, 106439, 107842, 109213, 109634, 110556, 114781, 115660, 117584, 118342, 119715, 122559, 123968, 125811, 126727, 128078, 130670, 131072, 133491, 133681, 134334, 139394, 139538, 140913, 141912, 142296, 143693, 145075]",0.75,0.875,0.8452380952380952
27,201abd15-2c3b-4ccb-8352-b41c05108771,5,Ritorno,A,2,Y,N,3,"[4230, 4334, 4525, 6006, 7487, 8602, 8732, 9258, 11545, 11741, 14648, 19094, 21251, 22597, 23135, 23401, 24765, 28316, 29509, 31909, 32145, 36928, 38090, 40131, 42160, 44263, 48587, 49334, 51399, 52330, 54471, 57849, 59139, 61935, 62504, 63812, 70168, 70907, 72512, 74450, 76135, 76549, 81553, 83698, 84360, 84552, 86585, 89152, 90798, 93175, 93399, 95990, 99236, 99437, 101919, 104389, 105125, 106321, 106434, 107706, 109232, 110097, 111048, 113050, 116131, 116872, 116999, 121807, 121909, 123168, 127887, 128063, 129339, 129852, 133280, 136536, 137403, 139387, 141630, 142173, 143161, 145129]",0.875,0.875,0.8292682926829268
28,201abd15-2c3b-4ccb-8352-b41c05108771,5,Ritorno,A,2,Y,S,0,"[4717, 5094, 7145, 20859, 22633, 22934, 28616, 28954, 32507, 36444, 40248, 55193, 55748, 67845, 72332, 76435, 77413, 85059, 86766, 91355, 93336, 100626, 106345, 110235, 117310, 123117, 126922, 132167, 136906, 139608]",0.75,0.5,0.6666666666666666
29,201abd15-2c3b-4ccb-8352-b41c05108771,5,Ritorno,A,2,Y,S,1,"[3296, 3598, 4060, 6771, 9714, 12638, 15430, 18046, 20747, 29371, 32457, 36078, 37461, 39993, 40061, 40317, 40626, 40737, 46045, 47365, 48638, 53618, 55477, 57970, 62782, 62943, 66421, 69061, 69106, 70084, 72420, 73381, 74512, 76213, 76257, 77399, 82829, 85016, 85450, 86879, 88279, 90708, 90765, 93343, 99163, 101792, 105066, 105594, 106017, 106403, 110240, 112975, 117481, 121725, 122113, 124990, 126507, 127377, 127735, 128223, 130103, 130921, 132358, 133089, 137987, 139289, 139523, 141911, 144701, 147513]",0.625,0.5,0.8714285714285714
30,201abd15-2c3b-4ccb-8352-b41c05108771,5,Ritorno,A,2,Y,S,2,"[1508, 1636, 2088, 3043, 4420, 4863, 6319, 7792, 9273, 10267, 11680, 14372, 14789, 18350, 20183, 23109, 27008, 27433, 28807, 30067, 30123, 32281, 38400, 39413, 46658, 48858, 50650, 54518, 54974, 55884, 60163, 62619, 68542, 71428, 72438, 74262, 76367, 77285, 78258, 79530, 82141, 84879, 89209, 91590, 91994, 93269, 95911, 98497, 100754, 102165, 102598, 105479, 106427, 108152, 108281, 110168, 110535, 112248, 114766, 116978, 117412, 118743, 120154, 121583, 123000, 123969, 127874, 128494, 129790, 131060, 133501, 136879, 139416, 139536, 141358, 142759, 144132, 145063]",0.875,0.5,0.8589743589743589
31,201abd15-2c3b-4ccb-8352-b41c05108771,5,Ritorno,A,2,Y,S,3,"[2005, 4349, 4510, 7312, 9249, 11572, 11731, 12400, 15963, 16849, 17014, 19838, 21511, 22634, 23120, 23358, 25709, 28296, 28821, 28920, 34653, 36911, 40160, 41509, 46062, 48661, 48731, 51443, 52327, 54485, 55911, 59172, 59932, 62040, 63829, 69470, 71671, 72508, 74480, 76121, 77166, 82038, 84538, 86727, 86840, 89132, 90696, 90760, 91426, 93183, 98644, 99274, 101888, 102573, 104371, 104945, 105125, 106331, 106427, 109215, 110077, 113040, 116837, 116994, 119802, 121817, 123176, 129331, 129863, 131601, 131900, 138037, 139382, 142190, 143139]",0.75,0.75,0.84
32,74f0a228-bbb9-4b01-be2f-36b80a9e2a64,5,Ritorno,A,1,Z,N,0,"[4704, 10191, 18314, 21161, 25051, 25140, 28451, 28507, 37182, 43429, 48001, 51081, 54433, 66185, 69199, 72195, 77914, 78923, 82061, 88383, 91550, 95325, 104858, 105135, 111122, 112537, 115323, 118714, 122283, 127509, 127778, 139451]",0.7777777777777778,0.2222222222222222,0.71875
33,74f0a228-bbb9-4b01-be2f-36b80a9e2a64,5,Ritorno,A,1,Z,N,1,"[3296, 3590, 4083, 5506, 8313, 15084, 16332, 18704, 19813, 20879, 22955, 24723, 24837, 28235, 31496, 32593, 37008, 37511, 37902, 41780, 42625, 44165, 46653, 50596, 54381, 60274, 62982, 64313, 65610, 72311, 73677, 76458, 77829, 79210, 87494, 88387, 91193, 91599, 92959, 94297, 96926, 102250, 104978, 106368, 109136, 110506, 114656, 117401, 120175, 123663, 125667, 129775, 135240, 136596, 138872, 139371, 140677, 147111, 147494]",0.5555555555555556,0.3333333333333333,0.864406779661017
34,74f0a228-bbb9-4b01-be2f-36b80a9e2a64,5,Ritorno,A,1,Z,N,2,"[1577, 1985, 4852, 7597, 9016, 10130, 10386, 11685, 12983, 15423, 17676, 19786, 23953, 24250, 28787, 30289, 33704, 33808, 36564, 42053, 43275, 47138, 51059, 51294, 54382, 58178, 60857, 65965, 66154, 68826, 70209, 71567, 75714, 77130, 79883, 81999, 85393, 86770, 88305, 92175, 93527, 96160, 97493, 98800, 101490, 105073, 108426, 111163, 112570, 113911, 115297, 118044, 122161, 124946, 127675, 129055, 129151, 129500, 131763, 133112, 135834, 139353, 141295, 144035, 145387]",0.7777777777777778,0.4444444444444444,0.8307692307692308
35,74f0a228-bbb9-4b01-be2f-36b80a9e2a64,5,Ritorno,A,1,Z,N,3,"[1686, 3122, 4507, 5929, 9990, 10063, 13775, 15240, 23912, 26905, 27216, 27333, 29768, 30073, 34324, 36316, 44988, 47779, 50637, 51018, 53719, 54352, 56795, 62662, 63140, 65292, 67326, 76776, 79215, 81975, 85597, 87291, 88271, 91508, 93081, 96620, 98303, 105070, 105482, 111060, 112439, 117216, 119102, 119975, 122235, 124935, 127386, 127584, 127681, 129098, 129467, 132270, 134105, 136823, 139283, 145044]",0.6666666666666666,0.3333333333333333,0.8392857142857143
